,architecture,train_time,avg_time_epoch,mse,mse_std,rmse,rmse_std,mape,mape_std,mae,mae_std
0,Dense_L3_U16,0.935474713643392,0.8599260648091634,0.034366933008035026,0.0005580683076167837,0.18537914752960205,0.0015025188048593786,84351.51302083333,5276.563581189817,0.13448077936967215,0.001163174331846263
1,Dense_L3_U16,1.0622562567392986,0.9885704517364502,0.016741616030534107,0.00025818599195057525,0.12938683231671652,0.0009978332066543961,289439.7291666667,17633.278160397917,0.07647129893302917,0.0013397623753035918
2,Dense_L3_U16,0.9266505241394043,0.8549645741780599,0.01889222301542759,0.00025766900948829766,0.13744685053825378,0.0009385124689704195,45479.438802083336,6384.43128211559,0.07633709410826366,0.0006699349891215018
3,Dense_L3_U16,0.9233671029408773,0.8512953917185465,0.02224203385412693,0.0006053504918765034,0.1491284966468811,0.0020218477826987507,132820.95052083334,7263.428430548081,0.063520564387242,0.000920120943130415
4,Dense_L3_U16,0.9212800661722819,0.849261204401652,0.013164732605218887,0.00021691116391122487,0.11473506689071655,0.0009465026616840797,85759.15885416667,7781.146682301242,0.07359570016463597,0.0013010134202057014
5,Dense_L3_U16,0.9222145080566406,0.8485281467437744,0.01922031305730343,0.00013783887010039933,0.13863674799601236,0.0004969150877092498,100036.80989583333,8598.919787965042,0.10025693972905476,0.002860848385252642
6,Dense_L3_U16,0.9331257343292236,0.8597731590270996,0.01880412797133128,0.0006148765272800687,0.1371160348256429,0.002231757298582893,71521.70052083333,6090.935210883827,0.0814666748046875,0.0017773317361327785
7,Dense_L3_U16,0.944918711980184,0.8698988755544027,0.02322402534385522,0.0006728520085226115,0.1523835708697637,0.0022158172025856775,14231.767903645834,6381.654231862953,0.09801855683326721,0.0006350856812331276
8,Dense_L3_U16,0.924120823542277,0.8507686456044515,0.024088647837440174,0.0012167577473104877,0.15517243246237436,0.0039046898312449785,66.585511525472,8.269819299128217,0.09001234918832779,0.001158673352980704
9,Dense_L3_U16,1.0829359690348308,1.0082125663757324,0.012787198958297571,0.000256838473359619,0.11307667692502339,0.001138510522981538,2638208.0833333335,370528.21532655694,0.06967818488677342,0.004040662254775168
10,Dense_L3_U16,0.9299216270446777,0.8559025923411051,0.014593915703396002,0.0002911594058992348,0.12080129235982895,0.0012017257587508315,93649.31770833333,13583.632440887963,0.07877339671055476,0.0016192774109692516
11,Dense_L3_U16,0.9559759298960367,0.8812899589538574,0.009364194857577482,2.9671212276628165e-05,0.09676868965228398,0.00015335082511406362,115017.70833333333,5418.352842917746,0.0658697709441185,0.0015387629831634172
12,Dense_L3_U16,0.9349589347839355,0.8629396756490072,0.01760144717991352,0.0007947620723806611,0.1326481799284617,0.002977186364638315,126967.19010416667,20737.32646571045,0.0867305373152097,0.001702745332166408
13,Dense_L3_U16,0.9222449461619059,0.8498926162719727,0.01952983687321345,0.00017377273429565555,0.13974827031294504,0.0006215166374323684,76816.92447916667,845.3804596762196,0.09227558970451355,0.004178896729871312
14,Dense_L3_U16,1.0974449316660564,1.0230921109517415,0.009593187210460504,5.618565376767352e-05,0.09794453779856364,0.00028686885729266044,125515.5546875,4264.534923072787,0.05703211079041163,0.0015936878115040483
15,Dense_L3_U16,0.929354190826416,0.8563371499379476,0.013233046668271223,0.00014075062600184542,0.11503389726082484,0.000610887268001276,78917.06380208333,13231.180553996404,0.07367460926373799,0.005403825057960401
16,Dense_L3_U16,0.9141958554585775,0.8428435325622559,0.016357241819302242,0.00021177005320789687,0.12789365152517954,0.0008266989588844588,192462.56770833334,19453.339046954512,0.08277978003025055,0.0021668981855036498
17,Dense_L3_U16,1.0651880105336506,0.9918357531229655,0.014400501425067583,8.81483424340072e-05,0.120001715918382,0.0003674694491413528,109979.8984375,14309.240663950173,0.0789572224020958,0.0021054388647522527
18,Dense_L3_U16,0.932972272237142,0.8589539527893066,0.012446105169753233,0.00023566942339375114,0.11155879000822704,0.0010544181293798737,76271.6796875,11818.958874671007,0.06404900675018628,0.002994120424916168
19,Dense_L3_U16,0.9243590037027994,0.8510065873463949,0.027298151204983395,0.0007210224329344091,0.16521191596984863,0.0021820675175978394,312619.1354166667,13758.746802614347,0.12515047440926233,0.0018803078722696316
20,Dense_L3_U16,1.0589199860890706,0.9862342675526937,0.017166271805763245,0.0004266039636672284,0.13101342817147574,0.0016222969522934113,109363.07291666667,9383.379933834416,0.09475420663754146,0.0005860204925290911
21,Dense_L3_U16,0.9279433886210123,0.8559245268503824,0.01986667203406493,0.00010846714097143333,0.1409488320350647,0.00038503415939332815,68902.13020833333,17338.2094255118,0.08413825184106827,0.004432829483226831
22,Dense_L3_U16,0.9214127858479818,0.8493927319844564,0.009741134320696196,9.226045007591115e-05,0.09869644790887833,0.00046740468640976354,152365.13020833334,6607.77998235772,0.06112702190876007,0.002688155902348588
23,Dense_L3_U16,0.9256002902984619,0.8529139359792074,0.00795187350983421,0.0004126057615372782,0.0891535555322965,0.0022969531840112793,252417.68229166666,13017.094582085823,0.0679359237353007,0.0035848096237319272
24,Dense_L3_U16,1.068567117055257,0.9972151120503744,0.01917559839785099,0.0006684742512623175,0.13846205671628317,0.002405161968359048,53456.5078125,8628.735822827495,0.08318013946215312,0.0046814862113179374
25,Dense_L3_U16,0.9391361872355143,0.8674505551656088,0.023222438991069794,0.001491038894386595,0.15233759582042694,0.004852254884883598,99621.39322916667,14185.005679504815,0.0911957969268163,0.0033522472719936225
